"Timestamp","Have you carefully studied the above and understand the agreement? Do you freely consent and voluntarily agree to participate in this study?","Which of these brackets best reflects your age?","What is your current employment status?","What is your field of study or work?","What gender do you identify as?","Please specify your ethnicity.","What is your relationship status?","Which of the following apps do you use regularly?","How many hours, on average, do you spend in front of a screen in a day?","How would you rate your screen habits? ","What are your main screen habits?","Which of the following do you think are effects linked to your screen habits?","What kind of feature would you like to see in an app that would encourage healthy screen habits? (not required)","Has the covid-19 pandemic had an effect on your mental health?","Which of the following do you think have affected your mental health?","What kind of feature would you like to see in an app that may improve your mental health? (not required)","The survey is anonymous, however if you would like to stay in contact, feel free to fill this slot with your email. Thanks again!"
"2021/02/07 11:57:43 AM EST","I have and I do.","18 - 24 years old","Unemployed","Sofware engineering","Male","African American or Black","Single","Facebook;Instagram;Messenger;Twitter","More than 8 hours","3","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.);Video games (PC, console, mobile, iPad, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Sleep deprivation;Vision problems","Sleep management","3","Doomscrolling (the act of endlessly scrolling down one’s news apps, Twitter, and social media and reading bad news)","Music","ly_amadou@outlook.com"
"2021/02/07 1:33:38 PM EST","I have and I do.","18 - 24 years old","Student","Software engineering","Male","Caucasian","Single","Messenger;Twitter","6 - 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.)","Stress;Vision problems","Tips and reminders to take breaks","3","Feeling isolated yet connected","",""
"2021/02/07 1:34:03 PM EST","I have and I do.","18 - 24 years old","Student","Computer engineering ","Male","Asian or Pacific Islander","Single","Instagram;Messenger;Netflix;TikTok;Twitter","More than 8 hours","1","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.);Video games (PC, console, mobile, iPad, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Lack of motivation;Sleep deprivation","","3","Doomscrolling (the act of endlessly scrolling down one’s news apps, Twitter, and social media and reading bad news);Feeling isolated yet connected;Social Media (Facebook, Instagram, Tik Tok, etc.)","",""
"2021/02/07 2:20:51 PM EST","I have and I do.","18 - 24 years old","Student","SOEN ","Male","Caucasian","Single","Instagram;Messenger;Netflix;TikTok;Twitter","More than 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Video games (PC, console, mobile, iPad, etc.)","Anxiety;Depression;Headaches;Lack of motivation;Sleep deprivation","","4","Feeling isolated yet connected","",""
"2021/02/08 10:48:48 AM EST","I have and I do.","18 - 24 years old","Student","Pharmacy","Female","Caucasian","In a relationship","Facebook;Instagram;Messenger;Netflix;TikTok","6 - 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Anxiety;Depression;Headaches;Lack of motivation;Sleep deprivation;Stress;Vision problems","Reminders of the time spent on screen","5","Doomscrolling (the act of endlessly scrolling down one’s news apps, Twitter, and social media and reading bad news);Feeling isolated yet connected;Social Media (Facebook, Instagram, Tik Tok, etc.)","Less algorithms and advertisment (see more friends and family content)",""
"2021/02/08 10:53:04 AM EST","I have and I do.","25 - 34 years old","Employed full-time","Teaching","Male","Caucasian","Single","Facebook;Messenger","More than 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.)","Anxiety;Stress;Vision problems","","3","Feeling isolated yet connected","",""
"2021/02/08 10:54:35 AM EST","I have and I do.","25 - 34 years old","Student","Aviation","Male","Caucasian","Single","Facebook;Instagram;Messenger;Youtube","More than 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Video games (PC, console, mobile, iPad, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Lack of motivation","","2","Social Media (Facebook, Instagram, Tik Tok, etc.)","",""
"2021/02/08 10:56:08 AM EST","I have and I do.","18 - 24 years old","Student","Engineering","Male","Arab","Single","Instagram;Messenger;Netflix","More than 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Sleep deprivation","","2","Feeling isolated yet connected","",""
"2021/02/08 10:56:18 AM EST","I have and I do.","25 - 34 years old","Employed full-time","Arborist","Male","Caucasian","Single","Facebook;Instagram;Messenger","4 - 6 hours","4","Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Lack of motivation;Sleep deprivation","","4","Feeling isolated yet connected;Social Media (Facebook, Instagram, Tik Tok, etc.)","",""
"2021/02/08 11:02:35 AM EST","I have and I do.","18 - 24 years old","Student","Computer engineering ","Male","Asian or Pacific Islander","In a relationship","Instagram;TikTok","0 - 2 hours","3","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Video games (PC, console, mobile, iPad, etc.);Streaming media providers (YouTube, Netflix, Twitch, TV, etc.)","Anxiety;Lack of motivation","Lock app","4","Doomscrolling (the act of endlessly scrolling down one’s news apps, Twitter, and social media and reading bad news)","",""
"2021/02/08 11:08:04 AM EST","I have and I do.","18 - 24 years old","Student","Software Engineering","Male","Middle Eastern","In a relationship","Facebook;Instagram;Messenger;TikTok","More than 8 hours","2","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.)","Headaches;Lack of motivation;Sleep deprivation;Stress","","4","Doomscrolling (the act of endlessly scrolling down one’s news apps, Twitter, and social media and reading bad news);Social Media (Facebook, Instagram, Tik Tok, etc.)","",""
"2021/02/08 11:22:03 AM EST","I have and I do.","18 - 24 years old","Student","Biomedical engineering ","Male","Arab","Single","Instagram;Messenger;Netflix;TikTok","More than 8 hours","3","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.)","Headaches","","3","Feeling isolated yet connected","",""
"2021/02/08 1:16:29 PM EST","I have and I do.","18 - 24 years old","Student","Civil engineering","Female","African American or Black","In a relationship","Facebook;Instagram;Messenger;TikTok","More than 8 hours","3","School / Work (Zoom, Moodle, Skype, Discord, Slack, etc.);Social Media (Facebook, Instagram, Tik Tok, etc.)","Lack of motivation","Screentime","4","Feeling isolated yet connected;Social Media (Facebook, Instagram, Tik Tok, etc.)","",""
